*Action(SiteID=Italy|Country=IT|Currency=EUR|Version=745|CC=UTF-8);ItemID;*Quantity
Revise;111073071132;71
Revise;161186511338;4
Revise;161026519282;8
Revise;111073070314;4
Revise;161026519618;143
Revise;111073070818;30
Revise;111257837631;83
Revise;161027043928;0
Revise;111073072921;5
Revise;161430913521;7
Revise;111384256072;5
Revise;111100042875;2
Revise;111257838100;37
Revise;111470454769;15
Revise;161199398486;5
Revise;111257838362;296
